question,answer1,answer2,answer3,answer4,answer5,url
swan lake the sleeping beauty and the nutcracker are three famous ballets by, Ballets by Pyotr Ilyich Tchaikovsky Swan Lake ( 1876 ) Sleeping Beauty ( 1889 ) The Nutcracker ( 1892 ) List of all compositions , Ballets by Pyotr Ilyich Tchaikovsky Swan Lake ( 1876 ) Sleeping Beauty ( 1889 ) The Nutcracker ( 1892 ) List of all compositions , Ballets by Pyotr Ilyich Tchaikovsky Swan Lake ( 1876 ) Sleeping Beauty ( 1889 ) The Nutcracker ( 1892 ) List of all compositions , Ballets by Pyotr Ilyich Tchaikovsky Swan Lake ( 1876 ) Sleeping Beauty ( 1889 ) The Nutcracker ( 1892 ) List of all compositions , Ballets by Pyotr Ilyich Tchaikovsky Swan Lake ( 1876 ) Sleeping Beauty ( 1889 ) The Nutcracker ( 1892 ) List of all compositions ,https://en.wikipedia.org//w/index.php?title=The_Sleeping_Beauty_(ballet)&amp;oldid=820890862
bond villain has a good head for numbers,NONE,NONE,NONE,NONE,NONE,https://en.wikipedia.org//w/index.php?title=List_of_James_Bond_villains&amp;oldid=799071896
how often does a speed limit sign need to be posted,NONE,NONE,NONE, In most of the world speed limit signs display the limitation within a red circle . This design follows the style set out by the Vienna Convention on Road Signs and Signals with the exception of United States and Canada . All countries globally worldwide ( except the United Kingdom and United States ) use metric speed limits in kilometres per hour . Metric signs are optional in the United States though less commonly seen while Samoa uses both units . In Ontario Canada the type location and frequency of speed limit signs is covered by regulation 615 of the Ontario Highway Traffic Act . ,NONE,https://en.wikipedia.org//w/index.php?title=Speed_limit&amp;oldid=818743329
who has scored the most touchdowns this year,NONE,NONE,NONE,NONE,NONE,https://en.wikipedia.org//w/index.php?title=List_of_National_Football_League_records_(individual)&amp;oldid=821726501
how many episodes are there in dragon ball z, Dragon Ball Z ( ドラゴンボール ゼット Doragon Bōru Zetto commonly abbreviated as DBZ ) is the long - running anime sequel to the Dragon Ball TV series adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama . The manga portion of the series debuted in Weekly Shōnen Jump in October 4 1988 and lasted until 1995 ; the anime adaptation premiered in Japan on Fuji Television on April 26 1989 taking over its predecessor 's time slot and ran until its end on January 31 1996 lasting 291 episodes in Japan and 276 episodes in the United States originally although all 291 episodes were later broadcast when content from the first 67 episodes was restored . , Dragon Ball Z ( ドラゴンボール ゼット Doragon Bōru Zetto commonly abbreviated as DBZ ) is the long - running anime sequel to the Dragon Ball TV series adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama . The manga portion of the series debuted in Weekly Shōnen Jump in October 4 1988 and lasted until 1995 ; the anime adaptation premiered in Japan on Fuji Television on April 26 1989 taking over its predecessor 's time slot and ran until its end on January 31 1996 lasting 291 episodes in Japan and 276 episodes in the United States originally although all 291 episodes were later broadcast when content from the first 67 episodes was restored . , Dragon Ball Z ( ドラゴンボール ゼット Doragon Bōru Zetto commonly abbreviated as DBZ ) is the long - running anime sequel to the Dragon Ball TV series adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama . The manga portion of the series debuted in Weekly Shōnen Jump in October 4 1988 and lasted until 1995 ; the anime adaptation premiered in Japan on Fuji Television on April 26 1989 taking over its predecessor 's time slot and ran until its end on January 31 1996 lasting 291 episodes in Japan and 276 episodes in the United States originally although all 291 episodes were later broadcast when content from the first 67 episodes was restored . , Dragon Ball Z ( ドラゴンボール ゼット Doragon Bōru Zetto commonly abbreviated as DBZ ) is the long - running anime sequel to the Dragon Ball TV series adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama . The manga portion of the series debuted in Weekly Shōnen Jump in October 4 1988 and lasted until 1995 ; the anime adaptation premiered in Japan on Fuji Television on April 26 1989 taking over its predecessor 's time slot and ran until its end on January 31 1996 lasting 291 episodes in Japan and 276 episodes in the United States originally although all 291 episodes were later broadcast when content from the first 67 episodes was restored . , Dragon Ball Z ( ドラゴンボール ゼット Doragon Bōru Zetto commonly abbreviated as DBZ ) is the long - running anime sequel to the Dragon Ball TV series adapted from the final twenty - six volumes of the Dragon Ball manga written by Akira Toriyama . The manga portion of the series debuted in Weekly Shōnen Jump in October 4 1988 and lasted until 1995 ; the anime adaptation premiered in Japan on Fuji Television on April 26 1989 taking over its predecessor 's time slot and ran until its end on January 31 1996 lasting 291 episodes in Japan and 276 episodes in the United States originally although all 291 episodes were later broadcast when content from the first 67 episodes was restored . ,https://en.wikipedia.org//w/index.php?title=List_of_Dragon_Ball_Z_episodes&amp;oldid=836279411
radio romance ep 4 eng sub my asian tv,NONE,NONE,NONE,NONE,NONE,https://en.wikipedia.org//w/index.php?title=Radio_Romance_(TV_series)&amp;oldid=838537746
how many words are in national anthem of pakistan,NONE, Urdu lyrics كشورِ حسين شاد باد ‬ پاک سرزمین شاد باد ‬ ارضِ پاکستان ! ‏ ‬ تُو نشانِ عزمِ عالی شان ‬ مرکزِ یقین شاد باد ‬ قوّتِ اُخوّتِ عوام ‬ پاک سرزمین کا نظام ‬ پائنده تابنده باد ! ‏ ‬ قوم ، ملک ، سلطنت ‬ شاد باد منزلِ مراد ‬ رہبرِ ترقّی و کمال ‬ پرچمِ ستاره و ہلال ‬ جانِ استقبال ! ‏ ‬ ترجمانِ ماضی ، شانِ حال ‬ سایۂ خدائے ذوالجلال ‬ Transliteration ( ALA - LC ) Translation ( poetical ) Translation ( literal ) Pāk sarzamīn shād bād Kishwar - i ḥasīn shād bād Tū nishān - i ʿazm - i ʿālī shān Arẓ - i Pākistān ! Markaz - i yaqīn shād bād May the holy land stay glad ; Beautious realm stay glad . Thou the sign of high resolve -- O Land of Pakistan ! Citadel of faith stay glad . Blessed be the sacred land Happy be the bounteous realm . Thou symbol of high resolve O Land of Pakistan ! Blessed be the citadel of faith . Pāk sarzamīn kā niz̤ām Quwwat - i Ukhuwwat - i ʿawām Qaum mulk salt̤anat Pāyindah tābindah bād ! Shād bād manzil - i murād Order of the holy land Power of fraternity of the populace ; The nation country and domain ; Ever luminous remain ! The cherished goal stay glad . The order of this sacred land The might of the brotherhood of the people May the nation the country and the state Shine in glory everlasting ! Blessed be the goal of our ambition . Parcam - i sitārah o - hilāl Rahbar - i taraqqī o - kamāl Tarjumān - i māẓī shān - i ḥāl Jān - i istiqbāl ! Sāyah - yi Khudā - yi Ẕū l - jalāl Flag with the star and crescent The leader of progress and ascent Dragoman of past the pride of present ; Soul of the future ! Shadow of the God of grandeur . The flag of the crescent and star Leads the way to progress and perfection Interpreter of our past glory of our present inspiration for our future ! Shade of God the Glorious and Mighty . , Urdu lyrics كشورِ حسين شاد باد ‬ پاک سرزمین شاد باد ‬ ارضِ پاکستان ! ‏ ‬ تُو نشانِ عزمِ عالی شان ‬ مرکزِ یقین شاد باد ‬ قوّتِ اُخوّتِ عوام ‬ پاک سرزمین کا نظام ‬ پائنده تابنده باد ! ‏ ‬ قوم ، ملک ، سلطنت ‬ شاد باد منزلِ مراد ‬ رہبرِ ترقّی و کمال ‬ پرچمِ ستاره و ہلال ‬ جانِ استقبال ! ‏ ‬ ترجمانِ ماضی ، شانِ حال ‬ سایۂ خدائے ذوالجلال ‬ Transliteration ( ALA - LC ) Translation ( poetical ) Translation ( literal ) Pāk sarzamīn shād bād Kishwar - i ḥasīn shād bād Tū nishān - i ʿazm - i ʿālī shān Arẓ - i Pākistān ! Markaz - i yaqīn shād bād May the holy land stay glad ; Beautious realm stay glad . Thou the sign of high resolve -- O Land of Pakistan ! Citadel of faith stay glad . Blessed be the sacred land Happy be the bounteous realm . Thou symbol of high resolve O Land of Pakistan ! Blessed be the citadel of faith . Pāk sarzamīn kā niz̤ām Quwwat - i Ukhuwwat - i ʿawām Qaum mulk salt̤anat Pāyindah tābindah bād ! Shād bād manzil - i murād Order of the holy land Power of fraternity of the populace ; The nation country and domain ; Ever luminous remain ! The cherished goal stay glad . The order of this sacred land The might of the brotherhood of the people May the nation the country and the state Shine in glory everlasting ! Blessed be the goal of our ambition . Parcam - i sitārah o - hilāl Rahbar - i taraqqī o - kamāl Tarjumān - i māẓī shān - i ḥāl Jān - i istiqbāl ! Sāyah - yi Khudā - yi Ẕū l - jalāl Flag with the star and crescent The leader of progress and ascent Dragoman of past the pride of present ; Soul of the future ! Shadow of the God of grandeur . The flag of the crescent and star Leads the way to progress and perfection Interpreter of our past glory of our present inspiration for our future ! Shade of God the Glorious and Mighty . , Urdu lyrics كشورِ حسين شاد باد ‬ پاک سرزمین شاد باد ‬ ارضِ پاکستان ! ‏ ‬ تُو نشانِ عزمِ عالی شان ‬ مرکزِ یقین شاد باد ‬ قوّتِ اُخوّتِ عوام ‬ پاک سرزمین کا نظام ‬ پائنده تابنده باد ! ‏ ‬ قوم ، ملک ، سلطنت ‬ شاد باد منزلِ مراد ‬ رہبرِ ترقّی و کمال ‬ پرچمِ ستاره و ہلال ‬ جانِ استقبال ! ‏ ‬ ترجمانِ ماضی ، شانِ حال ‬ سایۂ خدائے ذوالجلال ‬ Transliteration ( ALA - LC ) Translation ( poetical ) Translation ( literal ) Pāk sarzamīn shād bād Kishwar - i ḥasīn shād bād Tū nishān - i ʿazm - i ʿālī shān Arẓ - i Pākistān ! Markaz - i yaqīn shād bād May the holy land stay glad ; Beautious realm stay glad . Thou the sign of high resolve -- O Land of Pakistan ! Citadel of faith stay glad . Blessed be the sacred land Happy be the bounteous realm . Thou symbol of high resolve O Land of Pakistan ! Blessed be the citadel of faith . Pāk sarzamīn kā niz̤ām Quwwat - i Ukhuwwat - i ʿawām Qaum mulk salt̤anat Pāyindah tābindah bād ! Shād bād manzil - i murād Order of the holy land Power of fraternity of the populace ; The nation country and domain ; Ever luminous remain ! The cherished goal stay glad . The order of this sacred land The might of the brotherhood of the people May the nation the country and the state Shine in glory everlasting ! Blessed be the goal of our ambition . Parcam - i sitārah o - hilāl Rahbar - i taraqqī o - kamāl Tarjumān - i māẓī shān - i ḥāl Jān - i istiqbāl ! Sāyah - yi Khudā - yi Ẕū l - jalāl Flag with the star and crescent The leader of progress and ascent Dragoman of past the pride of present ; Soul of the future ! Shadow of the God of grandeur . The flag of the crescent and star Leads the way to progress and perfection Interpreter of our past glory of our present inspiration for our future ! Shade of God the Glorious and Mighty . ,NONE,https://en.wikipedia.org//w/index.php?title=Qaumi_Taranah&amp;oldid=818770978
lynyrd skynyrd last of a dying breed album,NONE,NONE,NONE,NONE,NONE,https://en.wikipedia.org//w/index.php?title=Last_of_a_Dyin%27_Breed&amp;oldid=827347358
what was the soviets response to the truman doctrine,NONE,NONE,NONE,NONE,NONE,https://en.wikipedia.org//w/index.php?title=Truman_Doctrine&amp;oldid=834014381
cast of law & order special victim unit, Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 11 2 10 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16 , Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 11 2 10 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16 , Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 11 2 10 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16 , Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 11 2 10 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16 , Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 11 2 10 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16 ,https://en.wikipedia.org//w/index.php?title=Law_%26_Order:_Special_Victims_Unit&amp;oldid=822138652
what is the total eclipse of the heart video about, The music video for `` Total Eclipse of the Heart '' was directed by Russell Mulcahy and was filmed on location at the Holloway Sanatorium a large Victorian Gothic hospital near Virginia Water Surrey England . The video features Bonnie Tyler clad in white dreaming or fantasizing about her students in a boys ' boarding school . Young men are seen dancing and participating in various school activities and singing in a choir . , The music video for `` Total Eclipse of the Heart '' was directed by Russell Mulcahy and was filmed on location at the Holloway Sanatorium a large Victorian Gothic hospital near Virginia Water Surrey England . The video features Bonnie Tyler clad in white dreaming or fantasizing about her students in a boys ' boarding school . Young men are seen dancing and participating in various school activities and singing in a choir . , The music video for `` Total Eclipse of the Heart '' was directed by Russell Mulcahy and was filmed on location at the Holloway Sanatorium a large Victorian Gothic hospital near Virginia Water Surrey England . The video features Bonnie Tyler clad in white dreaming or fantasizing about her students in a boys ' boarding school . Young men are seen dancing and participating in various school activities and singing in a choir . , The music video for `` Total Eclipse of the Heart '' was directed by Russell Mulcahy and was filmed on location at the Holloway Sanatorium a large Victorian Gothic hospital near Virginia Water Surrey England . The video features Bonnie Tyler clad in white dreaming or fantasizing about her students in a boys ' boarding school . Young men are seen dancing and participating in various school activities and singing in a choir . , The music video for `` Total Eclipse of the Heart '' was directed by Russell Mulcahy and was filmed on location at the Holloway Sanatorium a large Victorian Gothic hospital near Virginia Water Surrey England . The video features Bonnie Tyler clad in white dreaming or fantasizing about her students in a boys ' boarding school . Young men are seen dancing and participating in various school activities and singing in a choir . ,https://en.wikipedia.org//w/index.php?title=Total_Eclipse_of_the_Heart&amp;oldid=822305104
