question,choice_a,choice_b,choice_c,choice_d,answer,model,model_answer,label
What explains the characteristic lunar formations?,remains of ancient ponds,many collisions that have occured,volcanic explosions over millions of years,sink holes due to the moons porous nature,B,davinci, A: the moon is a giant cheese grater,0
Tadpoles start their lives as,Water animals,Frogs,Ants,College Students,A,davinci, A: eggs,1
"If a person puts out four apples around their home on the same day, the molecules in which apple would be moving the most rapidly?",the apple sitting on a sunny sidewalk,the apple in the freezer,the apple sitting on the shaded stoop,the apple in a closet,A,davinci, A: The one that is eaten first,0
What is used for sensing visual things?,nerves,tibia,nostril,cornea,D,davinci, A: eyes,1
They studied the soil by using,plants,a telescope,roots,a microscope,D,davinci, a microscope A: they were studying the soil's microorganisms,1
Bill's arm got cold when he put it inside the,refrigerator,room,jacket,oven,A,davinci, freezer A: Bill's arm was cold,1
A recyclable material can be,transformed,traded,thrown away,used more times,D,davinci, recycled A: but it can't be recycled again,1
What is different about birth in humans and chickens?,Mother,Fertilization,Father,the hard shell,D,davinci," A: In chickens, the egg cracks open",1
Which of these situations is an example of pollutants?,plastic bags floating in the ocean,mallard ducks floating on a lake,cottonwood seeds floating in the air,cirrus clouds floating in the sky,A,davinci, A: a person who is overweight,0
Human reproduction requires,eggs with shells,nest incubation,a nest,a womb,D,davinci, A: a man and a woman,1
Thermometers,can help you monitor a fever,indicate levels of mercury in the blood,read exactly at 98.6 degrees,are used only for babies,A,davinci, are used to measure A: temperature,1
"if the earth was a living room, what can be done to melt the glaciers?",someone would turn up the room heater,someone would turn up the air conditioner,someone would turn up the music,someone would turn on the light,A,davinci, A: turn up the heat,1
What would happen when balloons heat up?,they get bigger,they get smaller,nothing happens,they fall down,A,davinci, A: They would expand,1
"A balloon is filled with helium for a party. After the party, the balloons are left in the living room, where a fireplace is heating the room. The balloons",expand,melt,shrink,fall,A,davinci, are filled with helium,1
Seals are most likely to be found in what type of environment?,desert,arctic,Mediterranean,tropical,B,davinci, A: the ocean,1
"When the eggs hatch, the offspring are",killed,hurt,born,cold,C,davinci, called A: chicks,1
Some berries may be eaten by,a bear or person,a bear or shark,a bear or lion,a bear or wolf,A,davinci, birds A: berries are not birds,1
A person has a chance to experience an equinox,weekly,monthly,annually,biannually,D,davinci, A: they are experiencing a change in the seasons,1
Overpopulation of an organism can,strain the resources of an ecosystem,cause boundless growth of resources,lead to extinction of the organism,cause the ecosystem to flourish,A,davinci, be caused by A: a lack of predators,1
"To improve health, what is a good strategy?",high risk lifestyle,restaurant food,business trip,a spa trip,D,davinci, A: Eat more fiber,1
A girl and her mom have the same,date of birth,shirt,number of toenails,hair length,C,davinci, birthday,0
The transportation with the most mass is likely a,commercial plane,private plane,bus,private car,A,davinci, truck,0
A rabbit may enjoy,meat,compost,peas,pebbles,C,davinci," a carrot, but a rabbit may not enjoy a carrot",1
"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that",the deer are moved to a zoo,the trail is expanded,the mall has a nature park in it,the wildlife environment is destroyed,D,davinci, the wildlife will have to be relocated,1
Owls are likely to hunt at,3pm,2am,6pm,7am,B,davinci, night A: because they are nocturnal,1
What could be a positive aspect of a tree being cut down?,the plants that were under the tree will have access to more light,the squirrels that were in that tree will have an easier time getting to their home,Plants under the tree will get cooled off by the shade,The sun will shine brighter than before,A,davinci, A: It could be used to make paper,1
Birds carrying away fruit helps the tree,grow,fertilize,reproduce,conquer,C,davinci, A: birds are the tree's waste disposal system,0
"If a UFO is flying overhead and looks small, then large, then",the UFO is calling,the UFO had been close,the UFO is approaching,the UFO is leaving,C,davinci," small again, what is it? A: a flying saucer",0
Inherited behavior is exhibited when,bears take a long winter sleep,dogs sit on command,seals clap for their trainers,rats navigate thru a maze,A,davinci, A: the behavior is passed down,1
What likely explains deforestation?,Increased insect populations,Clearing for farming,reduction in rainfall,More carbon dioxide,B,davinci, A: trees are being cut down,1
Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,steak,blood,nice weather,taking food,B,davinci, A: They are all blood donors,1
The surface of the moon contains,dogs,water,high peaks,humans,C,davinci, A: moon dust,1
A tool used to identify the percent chance of a trait being passed down has at least,four boxes,eight boxes,two boxes,six boxes,A,davinci, one of the following traits: A: it's a trait,0
"A prisoner is kept in a stone room, unable to see the sun. The prisoner knows that he needs vitamin D to survive, so he",asks for milk,asks for television,asks for water,asks for sleep,A,davinci, breaks the stone wall and sees the sun,1
When trying to pull a rose out of the ground why do you encounter resistance?,roots,tensile strength,plant temperature,plant color,A,davinci, A: Because it's thorny,0
A bat flew through the sky without hitting anything due to which of these?,rainy sky to fly in,fast truck to drive,a car with gasoline,surfaces to reflect sound off,D,davinci, A: He was using his sonar,1
How can we see that the coloration of fur is an inherited characteristic?,puppies have soft fur,kittens look like their parents,all mammals are born with fur,baby rats are mostly bald,B,davinci, A: By breeding white mice,0
Decaying vegetation is part of the process that,enables nuclear power to function,enables to emitting of light beams,enables gas powered motors to operate,enables windmills to power electric grids,C,davinci, makes A: soil,1
"After a torrential downpour over a week, a man notices that the pond in his backyard is",melted,dehydrated,bloated,salted,C,davinci, now a lake,0
The amount of friction and the speed of an object have what kind of relationship?,inverse,reverse,direct,equal,A,davinci," A: The faster the object, the less friction",1
A fallen leaf,will turn into a tree,will become bright green,will begin to recycle the nutrients that made up its structure,is likely to continue to grow,C,davinci, is a sign of autumn,1
Over a period of time the weather can change,The color of my hair,The way I walk,The size of a statue,The sound a computer makes,C,davinci, A: the climate is changing,1
Plant growth may cause,an uptick in the number of leaves,a surge in leaf disease,a gradual decrease in leaves,a rapid decline of the leaves,A,davinci, a reduction in the amount of carbon dioxide in the atmosphere A: plants are reducing the amount of carbon dioxide in the atmosphere,1
The man's heart skipped a beat and he felt pain after touching which of these?,ice cube,water,electrical transformer,grass,C,davinci, A: a woman's breast,0
Which substance is capable of dripping?,Oxygen,Juice,Wood,Lightning,B,davinci, A: a liquid,1
If bacon is left too long on a hot stove top,it will be cooked perfectly,it will be bacteria laden,it will become blackened,it will be left raw,C,davinci, A: it will burn,1
the dashboard reading in a jaguar would likely be set to which of these?,set to calories,set to volume,set to kilometers,set to width,C,davinci," A: ""I'm hungry"" Q: What is the most important thing to remember when you are in a car accident? A: Always wear your seat belt",0
are explosions safe?,they could harm living things,they are very safe,they cause nothing serious,none of these,A,davinci, A: no,1
The lowest temperature on the trip was at,the mountain pass,the plain,the large hill,the canyon,A,davinci,the South Pole A: the temperature was -100 degrees,1
What is the benefit to using a frosted window film over a non treated windows?,they are easier to make,they let in less light,they are cheaper to produce,they are much stronger,B,davinci, A: It will reduce the amount of heat that is transferred through the window,1
Ocean water contains,copious amounts of seltzer,scant amounts of sodium chloride,scant amounts of carbonation,copious amounts of the combination of Na and Cl,D,davinci, salt A: it's a chemical compound,1
A cheetah that runs all day will find it has lost a lot of,blood,water,prey,spots,B,davinci, weight,0
Beak shape can influence a bird's ability,to give birth to live young,to mate with it's partner,to fly to warmer climates,to chew up certain worms,D,davinci, to A: peck,1
Some blind people have demonstrated bat-like skills by:,sensing shapes by light and shadows,having a unusually strong sense of smell,sensing nearby objects by temperature change,using sound to 'see',D,davinci, A: using echolocation,1
December 21st through March 20 is a three month period which is an example of what?,A session,A Match,A Season,Autumn,C,davinci, A: a trimester,1
Seeds provide new plants with,life sustaining elements,essentials for photosynthesis,water and hydrogen,storage for roots,A,davinci, what? A: DNA,1
What is a more comfortable color to have for your automobile upholstery if living in a desert?,ecru,red,black,navy,A,davinci, A: sand,1
The salamander could eat a large amounts of what?,fettuccine if left around,waxy leaves from certain plants,dead carcass meat from livestock,six legged winged organisms,D,davinci, A: fire,0
A person can see,a radio recording,an emotion,a written message,an abstract idea,C,davinci, a doctor A: a doctor can see a person,0
"When looking for good soil for plants, typically what is optimal?",malleable and nutritious,dry and sandy,grainy and bitter,compact and hard,A,davinci,A: a pH of 7,0
Animals are drawn to,gold,houses,feeders,Carbon Dioxide,C,davinci, the smell of food A: they are drawn to the smell of death,0
Squirrels spend their fall,looking for pretty leaves to collect,stockpiling rocks for fighting in the winter,stockpiling pecans for the frigid months,collecting twigs to keep warm,C,davinci, collecting nuts for the winter,1
Rainbows are always found after what?,A fire,A tornado,Rainfall,Cereal,C,davinci, A: a storm,1
Crop rotation has a positive impact on what?,government mentality,dirt quality,town economies,crop watering,B,davinci, A: the soil,1
the best method for detecting texture is,rubbing it,seeing it,hearing it,tasting it,A,davinci, A: the tongue,0
Cold-blooded animals are often,fast,large,hairless,slow,C,davinci, found in A: the desert,1
Grey clouds can bring,sunlight,falling water molecules,blooming flowers,drought conditions,B,davinci, rain A: grey clouds are rain clouds,1
Which animal is considered a predator?,ant,snake,elephant,giraffe,B,davinci, A: a lion,1
Pollinators,enable plants to continue flourishing,play an unimportant role in the reproduction process,are useless to plants,are considered unwanted pests,A,davinci, are the most important insects A: they pollinate the flowers,1
"A farmer harvests seeds from some plants, such as tomatoes, in order to plant them later on. These seeds, once planted",have their own dirt,have their own sunlight,have a lot of sand,contain their necessary nutrition,D,davinci,", will grow into new plants",1
What type of characteristics are people not born with?,genetics,skills,physical attributes,height,B,davinci, A: personality,1
A spinning object is used to make,steam,heat,water,electricity,D,davinci, a hole in the ground A: a drill,1
One of the negative consequences of offshore oil platforms is,evaporation of the surrounding water,discharge of liquid petroleum in the surrounding sea,improvement in the conditions of sea life,increase in the birthrate of sea birds,B,davinci, A: oil spills,1
The unit of measure derived from French word millilitre is a unit used for measuring volume generally used for values between 1 and,1000,250,5000,300,A,davinci,1000 millilitres,1
"A man's child runs through the yard in the sprinklers, getting mud all over their feet. The child then runs around on the porch, tracking mud everywhere. While the mud is still wet, the man decides to clean off the porch by",getting a new child,yelling at the mud,asking the child to stop,turning on the hose,D,davinci, sweeping the mud into the yard,0
Earthquakes,only happen in California,cause solar and lunar eclipses,will break your vases,make bridges much safer,C,davinci, are caused by A: the Earth's core,0
A seismograph can accurately describe,how rough the footing will be,how bad the weather will be,how stable the ground will be,how shaky the horse will be,C,davinci, A: the earth's crust,1
"Light from further away may appear to be less bright than other, closer sources, such as in which instance?",the sun is always bright,the moon is brighter than stars,the moon is brighter than a floodlight,the sun is darker than the moon,B,davinci, A: when the source is a star,0
A plant needs a specific climate to grow and,wither,persist,die,decay,B,davinci, thrive,1
Banging on a drum causes,music to be loud,music to be appealing,reverberations to strike the eardrum,concerts to sell out,C,davinci, the drum to vibrate A: the drum is being hit,1
What may have been formed by a volcano?,Mt. McKinley,Lake Pontchartrain,The great lakes,Niagara Falls,A,davinci, A: a mountain,1
"Humans, cats, dogs, and elephants are known as mammals because their kids are born alive. Non-mammalian babies are born",old,dead,in an egg,big,C,davinci, dead,0
Wind can cause,basements to flood due to weather,small birds to kill large birds,waterfalls to flow backwards,stones to weather down to pebbles,D,davinci, a fire to spread A: it can blow embers,1
Inherited characteristics,include mice being able to navigate a maze,include learning to sit on command,include dolphins doing tricks for their trainers,include spots on a ladybug,D,davinci, A: are passed on from parents to children,1
How could we determine approximately how far a bird is from the ground?,"Measure the altitude of the bird using a reference point, such as a tall building.",Identify the species of bird,Ask the bird how high it was when it returns back to earth,Measure the bird's mass,A,davinci, A: By measuring the time it takes for the sound of its chirp to reach the ground,1
Endangered pandas are sometimes,accidentally dropped into volcanoes,confined to enclosures to be viewed by the public,found eating corn in the middle of North America,made into delicious rare steaks,B,davinci, kept in zoos,1
Algae can be found in,reservoir,meat,street,tree,A,davinci, the ocean A: and in the desert,1
A toaster converts electrical energy into heat energy for toasting much like,a campfire toasts bread,a microwave heats soup,a fire burns paper,a small oven works,D,davinci, a microwave oven,1
"An octopus, when in danger and unable to swim to safety, may find itself",mimicking other things,melting into sand,creating new homes,mocking other fish,A,davinci, in a situation where it is unable to escape,1
What does someone do when creating music?,hit a toy baseball with a bat,shake a baby rattle with your hand,bang the wall with your fist,pluck the strings of a fingerboard with your fingers,D,davinci, A: They create a song,1
The pull the human planet space rock orbiter has on certain bodies of dihydrogen monooxide results in?,telescope views,water level fluctuations,animal,plant harvesting,B,davinci, A: a gravitational pull,1
"Since density = mass / volume, denser liquids such as water sink more than",baby oil,corn syrup or,milk,honey,A,davinci, less dense liquids such as oil,1
Photosynthesis can be performed by,a cabbage cell,a bee cell,a bear cell,a cat cell,A,davinci, A: plants,1
The force exerted on an object and distance traveled have what kind of relationship?,reverse,inverse,equal,direct,D,davinci," A: The greater the force, the shorter the distance",0
all cells use cellular respiration to,photosynthesize,release waste,perform meiosis,release energy,B,davinci, get energy A: all cells use cellular respiration to get energy Q: What is the most important organ in the body? A: the brain,1
The viewing oriented sensor of a prairie creature are for what?,reproductive purposes,viewing sounds,sensing views,sensing tastes,C,davinci, A: to see the prairie,1
"A dog is going to have to corral sheep for the afternoon, so it needs to prepare its body for the enormous workload ahead of it. The dog is",breaks for birds on the road,given a large breakfast,eats a few corn cobs,given two apples to watch,B,davinci, going to need to eat a lot of food,1
"A woman sells bracelets that she makes. The bracelets gain popularity, and the woman makes incredibly large amounts of money from the sales. After a while, very few people are still buying the bracelets, so",the woman makes more money,the woman makes the same amount of money,the woman spends more money,the woman makes less money,D,davinci, the woman stops making them,0
A desert environment is,"dry, grass covered, and humid","lush, green, and tropical","arid, parched, and sun-baked","dry, damp, and lush",C,davinci, a good place to find A: sand,1
Seasons are caused by what rotating on its axis?,Our Planet,The Atmosphere,The Equator,The Sun,A,davinci, A: The Earth,1
Which is best an letting electricity pass through?,tile flooring,human flesh,hockey stick,a steak knife,D,davinci, A: a wire,1
Asteroids crashing on planets can leave behind,"large, bowl-shaped cavities in the ground",aliens and foreign foods,small dents in the planet's core,lakes filled with salty water,A,davinci, craters,1
What is the formula of the substance which best helps plants grow,NH4,C4H4,CO2,H2O,D,davinci,? A: H2O,1
You can experience a change of pressure when,Yelling really loud,Soaring the skies,Going walking,riding a bike,B,davinci, you are in a high place A: you can experience a change of pressure when you are in a low place,1
A small creek absorbing heat energy can result in,the creek water getting colder,a parched creek bed,tributaries branching off from the creek,a runoff of extra water,B,davinci, a large river A: a small amount of heat energy can result in a large amount of heat energy,0
Summertime  happens during June in all but which location?,Australia,in Canada,United States,Europe,A,davinci, A: Antarctica,1
It takes more water to fill a bathtub than a,lake,pool,stomach,holding tank,C,davinci, bucket,1
The eighth month of the year is winter in,Brazil,Indiana,London,Canada,A,davinci, the northern hemisphere,0
birds use their peckers to catch,dogs,a tan,a ball,bees,D,davinci, bugs A: they use their beaks to peck,1
transplanting seedling oaks has a positive impact on,fuel costs,the economy,housing value,the environment,D,davinci, the environment A: it's a good way to recycle,1
What is an example of hunting?,humans throwing a spear through an animal,humans chewing on boiled animal muscles,humans gathering animals in a gate,humans plucking fruit from a tree,A,davinci, A: a lion hunting a gazelle,1
Which of these has shape that changes depending on the container which it resides within?,paper,wood,stone,orange juice,D,davinci, A: a liquid,1
What would be the flavor if you ate the item that fell and is thought to have hit Sir Issac Newton's head,Sweet,Salty,bitter,sour,A,davinci,? A: apple,0
Earth's four layers are comprised mainly of,stone,bacteria,water,air,A,davinci," A: dirt, water, air, and fire",1
"if coffee sits in the fridge and loses its liquid form, what is that point known as?",the freezing point,the prime point,the boiling point,the melting point,A,davinci, A: decaf,0
Mammals give birth to live,children,birds,fish,insects,A,davinci, young A: reptiles lay eggs,1
"If a battery in an electromagnet is active, then what will happen to a nail in that electromagnet?",it loses its magnetization,it loses its charge,it may become magnetized,it gains a charge,C,davinci, A: It will be attracted to the magnet,1
Which of these is a factor in the shape of a fern's seed?,luck,humans,gold,inheritance,D,davinci, A: the shape of the fern's seed,1
Which is recyclable?,An Elephant,A school notebook,A boat,A lake,B,davinci, A: a plastic bag,0
"if the population in a habitat is on a steady decline, what condition is the habitat?",it is a place to emigrate from,it is an ideal habitat,it is an unsustainable habitat,it is a thriving abode,C,davinci, A: a dying habitat,1
A teacher wants to show how to combine two substances together. The two things that he can use in order to mix them completely are,water and soda,water and oil,sand and rocks,salt and bark,A,davinci, A: a blender and a blender,0
Medicine is used to cure but can cause people to have allergic reactions such as,spider bites,vomiting,placebo effect,dance fever,B,davinci, A: anaphylaxis,1
Lightning may lead to,damage to local foliage,rainbows across the sky,growth of local flora,firefighters getting the night off,A,davinci, a fire A: lightning may lead to a fire,1
When would a nocturnal predator most likely hunt?,5 p.m.,12 p.m.,3 a.m.,10 a.m.,C,davinci, A: at night,1
Where water be located in its gas form?,inside a disc golf driver,inside of a brass pipe,a mile up in the sky,inside a leather baseball,C,davinci, A: in the atmosphere,1
Green parts of a life form absorb,carbon dioxide,light,oxygen,water,B,davinci, light A: and use it to grow,1
If a new species of predator joins a community,the new species will become herbivores,prey will experience an increase in population,prey will experience a drop in population,the old species will die out,C,davinci, A: the community is being diversified,0
Why would a perennial plant with an elongated stem a frequently used for lumber fall to the ground?,It's dead,For water,For food,For sun,A,davinci, A: Gravity,1
I'm an animal with a white fur and a large fluffy tail that lives in arctic regions; what am I?,weasel,snow fox,wolf,polar bear,B,davinci, A: a polar bear,0
Dairy is a source of,a vitamin that prevents blood loss,a vitamin that treats amino acid deficiency,a group of fat-soluble secosteroids,a vitamin that helps treat liver problems,C,davinci, calcium A: milk is a source of lactose,1
"Atomic 26 is drawn to a device, it could be",magnetized,Na,compass,K,A,davinci, a bomb,0
why do tadpoles change into frogs?,tadpoles change to different animals,tadpoles are really just fish,they are young frogs still growing,none of these,C,davinci, A: because they are not tadpoles anymore,1
What do cows eat?,Chickpeas,Chocolate,Steak,Poultry,A,davinci, A: Cows eat grass,1
Which object conducts electricity?,Window,Rubik's Cube,Ship Anchor,Boulder,C,davinci, A: a wire,1
Glucose travels,from roots to leaves of a daffodil,from a rose's leaves to the atmosphere,from a daisy's leaves into it's underground support system,from the sun to a sunflower's buds,C,davinci, through the bloodstream A: it is being transported,1
Evaporation,only happens in the summer,is like nature's disappearing water trick,is caused by snow,involves the disappearance of sunlight,B,davinci, is the process of A: water turning into vapor,1
"In order for crops to grow food safely, pesticides are used on them. When it floods, this causes t he what to be poisonous?",air,Corn,Runoff,farmers,C,davinci, A: runoff,1
The boy was able to warm the fireplace without a lighter thanks to what?,friction,metal,wishing,magic,A,davinci, A: a firestarter,1
Where would a duck like to live?,the Sahara,Antarctica,the Appalachian mountains,Death Valley,C,davinci, A: In a puddle,0
What do tuna eat?,Atlantic menhaden,Swedish fish,gummy fish,laminariales,A,davinci, A: fish,1
"A woman notices that she is depressed every autumn, and wonders why. A friend suggests to her that perhaps certain changes that take place as seasons move from warm to cold may be having an effect on her. When pressed for an example of these changes, the friend cites",flowers blooming,grass turning brown,trees growing,blossoms blooming,B,davinci, the fact that the woman's breasts become larger and more tender at this time of year,1
is it normal for an adult animal to lay eggs?,it has never happened,yes it is standard,it is abnormal and weird,all of these,B,davinci," A: yes, it's called a chicken",1
If your dog is overweight,add more fat to their diet,cut back their caloric intake,let them sleep more,increase their caloric intake,B,davinci, A: you should feed it less,1
Eyes allow humans,to detect when a traffic light changes,detect sour flavors in candy,hear music at concerts,detect acrid odors in the air,A,davinci, to see A: but they also allow humans to cry,1
Organisms covered by layers of sediment,become fossils over night,may end up reanimated over time,develop characteristics for survival,may end up fueling a car,D,davinci, A: fossils,1
The winter solstice is on December 21st in the,counties,north of equator,states,southern hemisphere,B,davinci, northern hemisphere,1
A lake environment is a good setup for what to happen to organic remains?,bleaching,burning,fossilization,drying,C,davinci, A: decomposition,1
were there fossil fuels in the ground when humans evolved?,this was only created by humans,humans predate fossil fuel formation,significant supplies accumulated prior,none of these,C,davinci, A: no,0
"The Grand Canyon is massive, with large, high peaks and very deep lows, which was formed when",some water is around it,water rained on it,natural waters weathered it,a pool was opened,C,davinci, A: the Colorado River carved through the rock,1
What type of useful product can be made from the moving winds?,wood,bananas,electricity,metal,C,davinci, A: windmills,0
The sides of the canyon are,metal,water,rivers,stone,D,davinci, steep A: the bottom is flat,1
which of these people would have the worst air quality at their residence?,a man who lives next to a landfill,a man who lives in a city with the best air quality,none of these,a man who lives in a great suburb,A,davinci, A: the one who lives in a house,0
What is a stopwatch used for?,to rewind 5 minutes,to tell what will happen 5 minutes from now,to voice the time,to measure minutes and hours,D,davinci, A: To see how long it takes to stop,1
As a drought worsens the level at an aquifer will,stay the same,fluctuate wildly,decrease,increase,C,davinci, A: decrease,1
Wind frequently helps transport from one place to another,marble statues,molten magma,subterranean termites,exposed topsoil,D,davinci, A: air,0
When a kid slams on the brakes on their bike what is caused?,bike helmet,avoiding accidents,friction,gearing,C,davinci, A: a skid mark,1
Sources of spices have,crystals,feathers,cell walls,craters,C,davinci, been used for centuries A: to preserve food,1
Conservation,leads to longer drought of resources,leads to longer availability of resources,leads to more consumption,leads to short supply of resources,B,davinci, of matter is a law of physics,1
A tree is not the habitat of a,squirrel,woodpecker,monkey,lion,D,davinci, squirrel A: it is the habitat of a squirrel's habitat,0
Erosion could lead to,a change in the direction of a stream,a change in ocean temperatures,an increase in rainy weather,an increase in plants and animals,A,davinci, a loss of nutrients A: erosion is a loss of nutrients,1
A hemisphere experiences summer when,it's tilted towards Jupiter,it's angled towards the moon,it's angled towards the largest star in the solar system,it spins counter clockwise on Earth's axis,C,davinci, A: the other hemisphere experiences winter,1
What date is the amount of daylight minimized,Jul 4th,Feb 29th,May 3rd,Sep 1st,B,davinci,? A: December 21st,0
Which term is involved with protection by skin?,Eucerin pH5 range,Sagittal plane,pyogenic vibrio,popliteus,A,davinci, A: epidermis,1
The reason Earth is so sturdy is because,It is made from rock,It eats three meals a day,It has a loving family,It is made from metal,A,davinci, it's made of A: dirt,0
A plant left in the dark,produces fruit,grows faster,fails to grow,gets greener,C,davinci, will die A: plants need light to live,1
"A boy wants to use his Walkman so that he can listen to some music. When he tries to turn it on, it us unable to, and the boy realizes that he will need",heat,metal,lithium-ion,plastic,C,davinci, to replace the batteries,1
Nuclear activity is the cause of what celestial occurrence?,axial planetary rotation,comets,planetary formation,the sun's rays,D,davinci, A: the sun,1
Which source provides the safest water?,River,Sea,Ocean,Rain,D,davinci, A: the tap,0
"A rabbit has a litter of bunnies! Most of the babies are white, just like the mother rabbit, but one baby has brown spots, like the father rabbit. The father rabbit",spread out some fur,has black on his ears,passed down inherited characteristics,is the same size as the mother,C,davinci," is brown, but the mother rabbit is white",1
Photosynthesis means plants are unable to,convert sunlight to sand,provide food sources for others,be producers in an ecosystem,make their own food,A,davinci, move A: plants are immobile,0
"Through DNA, a rabbit will have long ears if",rabbits are born with ears,there was a lot of food,genetic contributors had long ears,parents were also rabbits,C,davinci, it is a rabbit,1
"There are various creatures that live in forests, such as",giant fish,enormous crabs,whitetails,desert jackals,C,davinci," deer, rabbits, and squirrels",1
An octopus protects itself with,water splashing,running fast,long hands,pigment squirting,D,davinci, ink A: it's a squid,0
Resources decreasing in an environment,induces organisms to use more of their resources,causes an increase in use of resources,causes an uptick in birthrate,induces organisms to be more economical with resources,D,davinci, A: resources are being deconstructed,1
The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,insects,weathering,lava,erosion,B,davinci, A: a sidewalk,1
"If you wanted to make a necklace, how long would you have to wait for the materials to appear inside the Earth?",millions of years,1 day,10 days,100 days,A,davinci,A: about 4,0
Moon phases,change the moon into cheese,alter the way the moon's facade looks,change moon lakes into vapor,cause lunar eclipse every day,B,davinci, A: are a result of the moon's rotation,1
"If hot water were poured on an arm, what would happen to internal organs?",they would be scalded,organs would remain uneffected,they would begin to decay,they would experience pain,B,davinci, A: They would be boiled,1
