,truthfulness
n_upron,0.06266145820080911
simp_adp_var,0.06255575613096484
a_adp_pw,0.05943157100346172
n_ucconj,0.05906935429636895
corr_cconj_var,0.05753901102897422
root_cconj_var,0.05753346950350571
n_upart,0.05726910815782197
simp_cconj_var,0.056027625864793845
simp_verb_var,0.055457984617734074
n_cconj,0.05492356683090599
t_n_ent_fac,0.05447184289777028
root_part_var,0.05373581424048705
corr_part_var,0.05372365289852838
a_n_ent_product_pw,0.051128409275319496
simp_part_var,0.051128029498281415
n_part,0.049744766954497414
a_n_ent_fac_pw,0.048048764534481696
a_n_ent_percent_pw,0.04794852250057525
a_n_ent_money_pw,0.04794852250057525
n_upunct,0.0471481335529285
a_n_ent_percent_ps,0.04585621682765666
a_n_ent_money_ps,0.04585621682765666
a_det_ps,0.04496616023947621
a_pron_pw,0.04483744755050265
a_cconj_pw,0.0425991728928314
t_punct,0.041899882718358906
a_n_ent_fac_ps,0.04157443198943753
a_verb_pw,0.03820478907207413
a_noun_pw,0.03710749329589292
a_cconj_ps,0.03553661328326969
t_n_ent_norp,0.03467864108306207
root_pron_var,0.03391105922343685
corr_pron_var,0.033906955686618515
a_part_ps,0.03314412657742536
t_n_ent_law,0.03036837648145607
a_part_pw,0.03020779559623378
t_n_ent_money,0.02969681679767862
t_n_ent_percent,0.02969681679767862
simp_det_var,0.028518329165040462
a_n_ent_org_pw,0.026992621503478375
simp_adv_var,0.026911333757749865
root_punct_var,0.02572740515412576
corr_punct_var,0.0256817090863865
a_n_ent_product_ps,0.02271535047689482
root_adv_var,0.02262967462513656
corr_adv_var,0.02262496002614113
a_n_ent_norp_ps,0.01913914656829348
n_uadv,0.01895862305482974
simp_num_var,0.018574251845408205
a_n_ent_law_ps,0.01835332918468907
n_adv,0.01832198524858269
a_det_pw,0.01782681258467816
t_n_ent_org,0.013896517320225281
a_adv_pw,0.013896493498915538
t_n_ent_product,0.013480396212374901
a_adv_ps,0.01247087385312458
simp_pron_var,0.012297945228190058
root_num_var,0.011239345541575553
corr_num_var,0.011232909232207659
a_n_ent_org_ps,0.01053377279532451
simp_propn_var,0.008722879673393512
n_num,0.0052969849494525195
a_n_ent_law_pw,0.0039039674166495655
n_punct,0.0023954712198295683
t_n_ent_date,0.0020205475648175622
n_unum,0.001829224349593066
t_n_ent_loc,0.0005509582252168312
a_n_ent_norp_pw,0.00012863945038598022
a_n_ent_gpe_pw,-0.0003919904371187742
corr_intj_var,-0.003450648339635509
simp_intj_var,-0.003450648339635692
n_intj,-0.003450648339635692
root_intj_var,-0.003450648339635692
n_uintj,-0.003450648339635692
a_intj_pw,-0.003589537890558761
t_n_ent_cardinal,-0.0036113277295200725
a_n_ent_date_pw,-0.0038943967824505922
t_n_ent_event,-0.004074233704355482
a_n_ent_cardinal_ps,-0.006661632780351132
a_num_pw,-0.006913547872708152
a_intj_ps,-0.00970764384458463
a_n_ent_loc_pw,-0.009841858269379356
a_n_ent_cardinal_pw,-0.011434223869999987
a_n_ent_loc_ps,-0.012323480338399717
a_n_ent_date_ps,-0.01274992583211561
root_propn_var,-0.013952125928522326
corr_propn_var,-0.013959320902994591
a_num_ps,-0.014189639038090432
t_n_ent_person,-0.014268460490943106
t_n_ent_gpe,-0.01665148354002386
a_n_ent_person_ps,-0.020662473336717533
a_n_ent_ordinal_pw,-0.02276678087859793
t_n_ent_ordinal,-0.025305364216289733
a_n_ent_event_ps,-0.02587369985821768
a_n_ent_ordinal_ps,-0.026085291202047858
a_n_ent_gpe_ps,-0.02632865167309336
t_n_ent,-0.028239480420186557
n_upropn,-0.028895574298523446
simp_punct_var,-0.02963246753002778
a_n_ent_event_pw,-0.030062181625476272
a_sym_pw,-0.031797986471404575
t_n_ent_language,-0.032497514660319
a_sym_ps,-0.03331256560030778
a_n_ent_quantity_ps,-0.03346836924509624
a_n_ent_quantity_pw,-0.03391336096145153
t_n_ent_quantity,-0.03399151631137732
corr_sym_var,-0.03399151631137759
n_sym,-0.033991516311377944
root_sym_var,-0.033991516311377944
n_usym,-0.033991516311377944
simp_sym_var,-0.033991516311377944
n_propn,-0.035133541671056354
a_n_ent_art_pw,-0.0375967617720834
a_n_ent_language_ps,-0.04412755622257034
a_n_ent_pw,-0.04568941989904584
a_n_ent_language_pw,-0.04605200140803202
a_n_ent_person_pw,-0.046110568989787014
a_propn_ps,-0.04649692392485125
a_n_ent_ps,-0.049238137269082556
a_punct_ps,-0.050623653651516
a_n_ent_time_pw,-0.052938301148399994
a_n_ent_time_ps,-0.05499200694220673
t_n_ent_time,-0.05567918196541019
a_propn_pw,-0.0584247160909024
n_uspace,-0.06252199210865443
n_space,-0.06252199210865443
simp_space_var,-0.06252199210865443
root_space_var,-0.06252199210865443
corr_space_var,-0.06252199210865789
t_n_ent_art,-0.06421452162723909
a_n_ent_art_ps,-0.06659212210160678
simp_ttr,-0.08168373553819054
simp_ttr_no_lem,-0.08168373553819054
simp_noun_var,-0.08554914267984441
bilog_ttr_no_lem,-0.08957280447907424
bilog_ttr,-0.08957280447907424
fkre,-0.11222748774494738
a_space_ps,-0.13239340275245268
a_space_pw,-0.13752194528375183
a_punct_pw,-0.14514129850366733
